id,name,sex,agency,role,year
mk,Meltem Kaptan,1,NA,1,2022
us,Ursula Strauss,1,NA,1,2022
sf,Sara Fazilat,1,NA,1,2022
jh,Jella Haase,1,NA,2,2022
ans,Anja Schneider,1,NA,2,2022
sh,Sandra Hüller,1,NA,2,2022
als,Albrecht Schuch,2,NA,1,2022
fr,Franz Rogowski,2,NA,1,2022
fd,Farba Dieng,2,NA,1,2022
ales,Alexander Scheer,2,NA,2,2022
hh,Henry Hübchen,2,NA,2,2022
js,Jörg Schüttauf,2,NA,2,2022
gg,Godehard Giese,2,NA,2,2022
lc,Laia Costa,1,NA,1,2015
kms,Katarina Maria Schubert,1,NA,1,2015
nh,Nina Hoss,1,NA,1,2015
nk,Nina Kunzendorf,1,NA,2,2015
cm,Claudia Messner,1,NA,2,2015
mb,Meret Becker,1,NA,2,2015
fl,Frederick Lau,2,NA,1,2015
cf,Christian Friedel,2,NA,1,2015
hk,Hanno Koffler,2,NA,1,2015
jb,Joel Basman,2,NA,2,2015
bk,Burghart Klaußner,2,NA,2,2015
gv,Gert Voss,2,NA,2,2015
pool,Pool Position Management GmbH,NA,NA,NA,NA
agenten,die agenten,NA,NA,NA,NA
schwanen,Schwanenberg,NA,NA,NA,NA
lastrada,lastrada.doells,NA,NA,NA,NA
vogel,Agentur Vogel,NA,NA,NA,NA
schneider,Agentur Schneider,NA,NA,NA,NA
lambsdorff,Agentur Lambsdorff,NA,NA,NA,NA
players,Agentur Players ,NA,NA,NA,NA
adam,Agentur Adam,NA,NA,NA,NA
inka,Agentur Inka Stelljes,NA,NA,NA,NA
hübchen,Agentur Hübchen,NA,NA,NA,NA
rudorff,Agentur Rudorff,NA,NA,NA,NA
schlag,Agentur SCHLAG ,NA,NA,NA,NA
lentz,Agentur Lentz Peter Reinholz,NA,NA,NA,NA
yumi,YUMI Management,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
